priority,complexity,task_type,assignee_load,project_velocity,team_size,days_in_backlog,inventory_blocked,inventory_delay_days,num_dependencies,dependency_delay,day_of_week,sprint_day,team_type,actual_days_to_complete
2,13.0,1,15.0,12.13,10,13,0,0.0,2,2.95,2,6,chaotic,18.2
2,3.0,1,8.0,17.22,15,1,1,18.0,0,0.0,0,5,chaotic,20.9
1,2.0,0,14.0,17.61,5,15,0,0.0,0,0.0,0,3,chaotic,3.7
1,3.0,1,9.0,21.38,15,29,0,0.0,1,1.76,1,3,structured,6.1
2,3.0,2,9.0,20.56,8,5,0,0.0,1,1.94,1,6,chaotic,6.8
1,2.0,0,8.0,2.28,5,2,0,0.0,0,0.0,1,8,structured,3.6
3,8.0,3,5.0,7.93,10,3,0,0.0,5,5.12,1,8,structured,8.012488660022784
1,1.0,0,8.0,6.05,10,10,0,0.0,4,8.82,2,8,structured,12.2
1,1.0,1,3.0,3.19,14,1,0,0.0,0,0.0,0,8,structured,2.5
1,1.0,1,8.0,20.4,15,4,0,0.0,1,0.6,1,6,structured,4.8
2,5.0,1,10.0,28.47,11,8,1,14.0,5,4.99,4,0,chaotic,22.4
2,13.0,1,0.0,13.11,10,5,0,0.0,0,0.0,1,1,chaotic,24.5
1,3.0,2,8.0,2.57,6,21,0,0.0,0,0.0,0,7,structured,4.5
3,8.0,1,8.0,2.19,5,5,0,0.0,0,0.0,4,5,chaotic,15.8
1,2.0,1,11.0,4.54,10,8,1,15.0,4,4.51,0,1,structured,139.98956347679723
1,3.0,1,4.0,13.56,11,4,0,0.0,4,3.09,3,6,structured,46.3
1,8.0,1,14.0,3.58,7,9,0,0.0,3,4.75,0,0,structured,32.2
0,2.0,0,8.0,22.92,9,3,0,0.0,0,0.0,1,9,structured,3.2
2,13.0,0,8.0,18.6,10,12,0,0.0,3,4.83,3,9,chaotic,14.8
1,3.0,1,1.0,13.7,8,2,0,0.0,2,3.29,1,9,structured,8.0
2,3.0,3,10.0,17.02,2,14,0,0.0,1,1.96,3,3,chaotic,167.2
0,2.0,0,13.0,12.81,8,16,1,21.0,0,0.0,1,7,chaotic,27.3
3,5.0,1,8.0,22.92,4,5,0,0.0,0,0.0,1,3,structured,11.4
1,3.0,0,8.0,25.36,3,0,0,0.0,3,7.36,1,0,structured,12.6
3,13.0,1,0.0,10.02,8,32,0,0.0,4,6.99,0,4,chaotic,66.09851391153106
1,8.0,2,8.0,5.51,13,1,0,0.0,0,0.0,0,4,structured,8.5
0,2.0,2,1.0,14.11,13,6,1,22.0,1,1.03,3,2,structured,30.5
2,13.0,2,12.0,3.95,6,13,0,0.0,1,1.56,1,9,chaotic,10.6
2,8.0,2,8.0,17.57,9,4,0,0.0,5,6.32,4,3,chaotic,34.0
2,5.0,0,8.0,11.29,4,0,1,5.0,5,12.15,4,3,structured,24.0
1,1.0,1,8.0,24.04,5,12,0,0.0,0,0.0,3,9,structured,4.0
2,3.0,0,9.0,5.48,8,5,1,17.0,0,0.0,3,6,structured,32.2
3,2.0,3,11.0,5.56,7,4,0,0.0,5,10.13,3,9,structured,91.64339561213669
2,2.0,2,8.0,18.58,11,1,0,0.0,0,0.0,0,8,chaotic,3.5
1,3.0,0,15.0,5.97,12,0,0,0.0,1,0.54,1,1,chaotic,12.7
2,3.0,0,0.0,17.08,9,7,0,0.0,4,11.69,4,2,structured,15.7
2,8.0,1,2.0,8.81,2,0,0,0.0,0,0.0,4,5,chaotic,15.1
3,5.0,3,3.0,6.21,13,5,0,0.0,1,1.5,2,1,structured,11.8
1,3.0,0,12.0,13.15,8,19,0,0.0,4,10.45,2,5,structured,138.03024237206438
1,2.0,1,1.0,15.34,13,7,0,0.0,1,0.57,3,9,structured,3.7
2,5.0,1,1.0,4.71,5,24,0,0.0,3,3.09,2,5,chaotic,13.1
2,5.0,1,11.0,15.51,10,2,0,0.0,0,0.0,1,8,structured,8.0
2,5.0,1,6.0,15.33,5,0,0,0.0,5,5.96,4,0,structured,8.5
1,1.0,0,11.0,1.8,9,0,1,3.0,3,2.63,3,4,structured,21.2
1,3.0,2,5.0,21.07,13,3,0,0.0,3,7.84,4,2,structured,11.9
2,2.0,0,1.0,26.56,9,4,0,0.0,2,2.52,3,9,structured,3.0
1,3.0,2,9.0,1.57,15,9,1,26.0,3,2.8,0,7,structured,28.5
1,2.0,0,1.0,13.08,7,17,1,26.0,5,12.71,3,5,chaotic,32.6
2,3.0,1,7.0,6.77,3,3,1,7.0,5,8.51,1,9,structured,21.2
2,8.0,1,14.0,25.0,8,9,0,0.0,0,0.0,4,2,structured,9.7
3,3.0,1,2.0,2.84,13,14,0,0.0,2,4.66,4,2,structured,24.008838868838406
1,3.0,0,8.0,12.68,9,14,0,0.0,5,14.35,4,3,chaotic,28.6
1,5.0,1,15.0,10.89,10,4,1,9.0,4,8.41,2,9,chaotic,51.4
3,5.0,0,4.0,9.04,13,6,0,0.0,0,0.0,2,8,structured,2.9
1,3.0,1,5.0,3.53,5,5,0,0.0,5,5.3,1,1,chaotic,11.1
1,1.0,2,10.0,25.42,12,4,0,0.0,1,1.22,3,5,structured,21.0
1,8.0,1,2.0,22.46,15,25,1,6.0,0,0.0,3,5,chaotic,23.5
2,5.0,1,0.0,19.93,4,19,0,0.0,0,0.0,1,0,structured,5.1
3,3.0,1,13.0,18.23,4,5,0,0.0,1,1.11,4,2,structured,16.258523057685853
2,5.0,1,15.0,9.61,15,18,0,0.0,4,7.87,3,5,structured,26.8
2,2.0,2,15.0,20.25,15,2,0,0.0,1,1.36,1,4,chaotic,5.1
1,3.0,1,8.0,24.52,15,2,0,0.0,1,0.63,1,0,structured,3.6
1,3.0,3,8.0,17.9,14,9,0,0.0,3,3.4,0,7,chaotic,6.4
1,1.0,2,8.0,19.31,5,9,0,0.0,0,0.0,2,1,chaotic,2.6
1,5.0,1,13.0,15.96,9,22,0,0.0,2,4.57,2,6,structured,20.0
1,2.0,1,5.0,18.57,15,3,0,0.0,3,7.96,4,6,chaotic,62.9
1,3.0,1,7.0,16.72,11,0,1,23.0,3,5.64,0,4,chaotic,39.7
1,3.0,2,2.0,1.9,9,3,0,0.0,1,1.36,2,6,structured,3.9
2,13.0,0,2.0,22.37,10,2,0,0.0,1,1.3,0,2,structured,9.1
2,5.0,0,6.0,6.42,5,31,0,0.0,3,3.91,3,5,structured,7.5
0,8.0,0,3.0,17.81,6,1,0,0.0,1,1.18,2,9,structured,7.5
1,2.0,2,15.0,4.51,12,22,0,0.0,2,3.34,1,6,chaotic,14.7
2,3.0,2,1.0,22.31,15,6,0,0.0,5,14.58,4,0,chaotic,19.8
2,3.0,0,8.0,6.87,2,5,0,0.0,0,0.0,4,4,structured,5.5
2,8.0,1,8.0,7.7,7,7,0,0.0,5,6.59,0,6,chaotic,18.0
1,3.0,2,0.0,1.0,11,14,0,0.0,5,5.86,2,0,structured,43.58982927000874
2,13.0,3,8.0,15.25,8,6,0,0.0,5,7.9,3,5,structured,26.0
1,3.0,0,15.0,5.5,13,3,0,0.0,1,1.26,1,6,structured,11.4
1,2.0,1,1.0,20.56,11,2,0,0.0,2,4.87,2,4,structured,10.4
1,3.0,1,2.0,22.61,6,4,0,0.0,0,0.0,0,7,structured,4.2
1,3.0,1,2.0,17.98,12,8,0,0.0,2,1.41,2,9,structured,6.2
1,2.0,0,0.0,12.0,6,6,0,0.0,3,3.78,0,5,structured,6.6
1,3.0,0,14.0,23.54,7,3,0,0.0,4,8.58,4,9,chaotic,21.7
2,8.0,2,0.0,14.33,5,6,1,3.0,4,11.71,0,6,chaotic,69.46478611619612
1,3.0,1,4.0,6.15,15,7,0,0.0,1,1.51,0,8,chaotic,14.3
1,3.0,0,13.0,15.34,7,21,0,0.0,2,4.14,2,1,structured,7.9
1,8.0,1,15.0,9.28,15,8,1,29.0,0,0.0,2,9,structured,40.0
1,1.0,0,2.0,7.05,10,8,1,23.0,5,15.76,0,2,structured,60.5
1,3.0,1,5.0,1.47,3,9,0,0.0,4,8.37,2,0,structured,11.4
1,1.0,1,2.0,15.83,12,3,0,0.0,0,0.0,3,5,chaotic,2.7
1,1.0,0,3.0,24.69,4,7,0,0.0,5,16.01,2,9,structured,16.6
2,3.0,0,15.0,5.83,14,13,0,0.0,1,1.34,0,2,chaotic,4.1
3,5.0,2,5.0,22.45,15,2,0,0.0,5,6.93,0,0,chaotic,31.9
1,3.0,2,9.0,2.87,9,14,0,0.0,3,8.03,3,2,structured,12.0
2,5.0,0,2.0,25.17,7,6,0,0.0,3,5.53,4,5,structured,10.0
3,8.0,1,4.0,16.81,8,5,0,0.0,4,10.38,2,7,chaotic,22.1
3,8.0,0,8.0,26.39,12,0,0,0.0,1,1.1,3,9,chaotic,6.6
2,2.0,2,9.0,14.98,7,1,0,0.0,0,0.0,1,6,structured,2.5
3,2.0,2,14.0,17.3,2,0,1,13.0,4,10.2,0,7,structured,45.0
3,5.0,1,3.0,7.1,10,22,0,0.0,3,6.05,2,1,chaotic,18.6
2,8.0,1,10.0,4.47,12,3,0,0.0,3,6.88,0,8,structured,16.5
1,3.0,1,7.0,9.9,4,18,1,12.0,4,10.48,2,8,chaotic,26.8
0,2.0,0,12.0,6.01,7,8,0,0.0,4,10.8,1,1,chaotic,20.1
0,5.0,1,8.0,32.76,8,0,0,0.0,0,0.0,0,5,structured,5.4
1,1.0,0,6.0,9.66,10,4,0,0.0,0,0.0,4,8,structured,2.8
1,3.0,1,9.0,9.73,9,6,0,0.0,0,0.0,2,7,structured,7.8
1,1.0,1,7.0,20.86,12,14,1,30.0,2,3.35,3,4,chaotic,53.6
2,8.0,0,12.0,10.88,10,0,0,0.0,3,2.14,3,5,structured,12.6
2,5.0,1,0.0,5.45,11,2,0,0.0,4,3.14,4,3,structured,15.5
2,8.0,2,5.0,5.0,2,3,0,0.0,2,4.08,3,4,chaotic,35.9
1,1.0,1,2.0,19.46,14,9,1,6.0,0,0.0,1,3,chaotic,2.9
1,3.0,1,2.0,12.65,8,1,0,0.0,2,3.75,4,7,structured,8.2
2,2.0,2,0.0,21.22,7,0,0,0.0,3,7.66,4,7,structured,8.2
2,3.0,0,5.0,17.62,12,9,0,0.0,5,10.87,3,4,structured,20.2
3,2.0,1,3.0,4.16,7,12,0,0.0,1,0.85,0,1,structured,3.8
3,2.0,1,12.0,15.73,12,5,0,0.0,0,0.0,2,6,chaotic,4.1
3,8.0,0,8.0,4.46,13,4,0,0.0,3,5.25,4,1,structured,11.7
1,1.0,3,12.0,13.53,9,15,0,0.0,4,4.66,1,5,chaotic,22.5
1,2.0,1,14.0,14.0,9,4,0,0.0,2,2.76,4,1,structured,9.5
1,5.0,1,12.0,12.53,14,5,0,0.0,4,10.01,2,7,structured,29.0
2,3.0,0,6.0,25.57,12,3,1,16.0,1,1.36,2,4,chaotic,29.8
3,8.0,3,15.0,16.02,12,0,1,22.0,2,3.3,4,7,structured,56.9
1,2.0,2,6.0,6.68,11,20,0,0.0,5,4.56,1,6,structured,7.5
2,5.0,0,13.0,4.67,13,19,0,0.0,4,6.85,4,7,structured,16.1
1,5.0,1,2.0,13.98,12,14,0,0.0,5,12.4,4,3,structured,18.2
1,1.0,0,15.0,7.01,13,2,0,0.0,3,3.15,3,9,chaotic,9.4
1,3.0,2,4.0,16.65,7,1,0,0.0,1,1.97,0,5,structured,4.6
0,1.0,1,10.0,25.45,12,11,0,0.0,1,0.54,0,9,structured,4.2
3,13.0,0,5.0,16.08,9,1,1,10.0,1,0.89,1,6,structured,20.27158252447147
1,3.0,1,3.0,22.08,13,0,0,0.0,3,2.31,0,1,structured,10.8
2,5.0,3,5.0,3.15,8,14,0,0.0,2,2.18,1,2,structured,9.7
2,5.0,1,8.0,11.17,3,0,0,0.0,0,0.0,4,6,structured,10.3
1,3.0,0,1.0,18.94,13,11,0,0.0,2,3.0,3,0,structured,4.8
1,2.0,3,3.0,14.21,9,8,0,0.0,4,10.88,4,5,structured,13.0
2,8.0,0,14.0,2.58,2,1,0,0.0,3,3.96,2,8,structured,12.7
1,3.0,1,1.0,11.98,13,5,0,0.0,0,0.0,2,0,structured,4.3
3,5.0,1,11.0,22.11,2,15,1,7.0,2,1.98,1,0,structured,21.31393234621965
1,1.0,0,4.0,3.54,3,1,0,0.0,1,0.63,2,3,structured,5.2
2,8.0,0,5.0,5.15,11,5,1,24.0,0,0.0,2,9,structured,30.9
2,5.0,0,5.0,19.08,4,1,0,0.0,2,2.33,0,2,structured,5.9
1,1.0,0,6.0,4.14,5,25,0,0.0,2,2.08,0,3,chaotic,5.4
1,3.0,1,11.0,15.35,7,7,0,0.0,2,1.52,2,4,structured,10.4
3,3.0,2,12.0,8.24,15,5,0,0.0,4,11.75,2,2,structured,17.1
1,3.0,0,5.0,8.1,9,19,0,0.0,3,2.57,3,7,chaotic,5.8
1,13.0,2,2.0,15.01,15,7,0,0.0,1,1.61,0,6,chaotic,11.8
1,2.0,1,0.0,8.35,12,6,0,0.0,3,3.75,0,2,structured,7.4
1,8.0,0,11.0,5.18,6,15,1,18.0,1,1.33,4,5,chaotic,31.4
2,8.0,1,14.0,5.16,9,3,0,0.0,5,4.07,2,9,chaotic,23.1
2,5.0,0,0.0,7.06,6,9,0,0.0,3,2.13,1,9,structured,5.5
1,2.0,1,8.0,22.35,5,6,0,0.0,2,2.48,1,8,structured,7.8
2,2.0,1,3.0,17.48,9,4,0,0.0,1,1.56,0,4,chaotic,5.8
1,2.0,1,3.0,21.69,13,4,0,0.0,3,8.17,4,6,structured,11.5
0,3.0,3,13.0,4.27,13,1,0,0.0,0,0.0,4,2,structured,8.9
2,2.0,0,4.0,2.34,5,3,0,0.0,0,0.0,3,9,chaotic,2.4
3,5.0,3,4.0,20.65,5,0,0,0.0,3,5.63,3,6,chaotic,73.48473402805602
0,3.0,0,1.0,7.88,14,7,0,0.0,5,15.47,4,0,structured,32.0
1,1.0,0,14.0,4.98,10,1,0,0.0,5,10.88,3,9,structured,15.5
2,8.0,0,14.0,5.6,8,0,0,0.0,2,2.24,1,3,structured,11.7
2,13.0,2,14.0,17.99,13,28,1,3.0,3,6.5,0,2,structured,24.9
0,3.0,1,3.0,13.73,2,10,0,0.0,3,7.47,0,2,structured,12.1
1,3.0,3,3.0,7.24,12,17,0,0.0,1,1.77,2,1,chaotic,40.2
2,8.0,2,15.0,1.47,8,3,0,0.0,5,13.8,4,1,structured,137.97037938652707
1,2.0,1,9.0,21.33,8,6,0,0.0,0,0.0,1,3,chaotic,4.6
1,2.0,2,4.0,5.02,11,0,0,0.0,4,7.26,2,7,structured,9.3
1,3.0,3,0.0,23.3,5,2,0,0.0,5,9.26,4,5,chaotic,30.0
1,3.0,2,12.0,12.48,14,3,0,0.0,2,4.87,2,5,structured,8.0
1,5.0,1,12.0,8.66,3,16,0,0.0,3,3.01,4,4,chaotic,11.9
3,13.0,2,0.0,12.1,10,4,1,4.0,2,2.93,3,9,structured,11.6
2,3.0,0,7.0,18.7,8,9,0,0.0,0,0.0,2,8,structured,2.8
2,3.0,3,7.0,20.44,15,10,0,0.0,0,0.0,3,3,structured,3.3
3,5.0,3,7.0,24.71,11,0,0,0.0,1,1.84,3,9,chaotic,6.2
1,3.0,1,5.0,12.11,7,0,1,25.0,3,6.51,4,9,structured,50.7
1,3.0,0,5.0,19.86,7,31,1,30.0,4,4.27,3,8,structured,35.7
3,3.0,0,5.0,25.18,5,4,0,0.0,3,6.37,0,6,structured,15.6
1,3.0,3,14.0,4.84,2,13,0,0.0,4,8.82,1,4,chaotic,25.8
2,3.0,2,15.0,3.21,8,27,0,0.0,3,2.84,0,3,structured,8.0
2,8.0,2,1.0,5.89,2,4,0,0.0,4,11.8,1,7,structured,18.8
0,3.0,3,11.0,21.12,11,1,0,0.0,1,1.26,1,6,chaotic,4.3
1,5.0,1,9.0,14.37,14,6,0,0.0,1,1.3,0,0,structured,9.9
1,1.0,2,8.0,20.39,3,7,0,0.0,4,9.25,2,8,structured,12.9
1,5.0,0,2.0,16.92,15,13,0,0.0,3,3.34,4,1,structured,10.3
1,3.0,0,12.0,27.0,3,7,0,0.0,1,1.39,3,0,structured,4.7
1,2.0,1,5.0,21.94,8,6,0,0.0,0,0.0,4,7,structured,7.0
2,5.0,1,2.0,13.98,10,6,1,20.0,2,4.48,3,4,chaotic,18.9
3,3.0,1,15.0,5.99,10,6,1,15.0,3,7.69,4,7,structured,38.0
2,5.0,2,14.0,21.94,7,15,0,0.0,0,0.0,2,0,structured,5.8
1,5.0,0,6.0,12.66,2,3,0,0.0,5,6.11,2,9,structured,11.5
1,5.0,2,6.0,23.91,12,20,0,0.0,4,7.32,3,6,structured,15.8
1,1.0,0,6.0,16.75,8,7,0,0.0,4,11.79,2,0,structured,31.8
1,3.0,2,3.0,2.93,5,0,0,0.0,1,1.04,2,0,chaotic,2.7
3,8.0,0,1.0,17.02,8,15,0,0.0,4,5.98,4,4,structured,14.1
1,5.0,2,4.0,15.38,8,14,0,0.0,3,3.45,1,5,structured,8.7
1,3.0,1,6.0,14.56,10,3,0,0.0,4,3.69,0,1,chaotic,8.6
2,1.0,1,2.0,26.66,9,13,0,0.0,4,3.72,3,1,chaotic,6.7
1,8.0,0,0.0,16.52,10,12,0,0.0,3,3.18,3,0,structured,9.8
0,2.0,0,14.0,33.4,15,2,0,0.0,3,4.66,2,1,structured,6.8
1,3.0,1,14.0,1.0,14,4,1,22.0,0,0.0,0,3,structured,23.3
2,8.0,0,4.0,13.75,2,11,0,0.0,3,5.4,2,7,structured,15.3
2,3.0,0,9.0,5.47,11,32,0,0.0,5,9.24,2,6,structured,14.1
1,5.0,2,2.0,1.0,5,16,0,0.0,5,14.62,4,1,structured,22.6
3,2.0,0,14.0,17.03,2,6,0,0.0,1,1.74,1,3,structured,6.1
3,8.0,0,13.0,22.11,3,2,0,0.0,5,8.82,0,0,chaotic,67.89597317745587
2,3.0,1,2.0,29.61,10,8,0,0.0,2,3.11,3,9,chaotic,18.0
1,13.0,1,3.0,21.34,15,17,0,0.0,1,1.83,1,3,structured,19.0
0,8.0,1,5.0,19.69,12,16,0,0.0,3,3.26,1,7,structured,14.5
3,3.0,1,1.0,24.13,3,29,1,26.0,2,2.53,3,4,structured,30.2
1,2.0,1,5.0,22.02,4,0,0,0.0,2,3.45,1,2,structured,6.8
2,13.0,1,10.0,11.69,13,0,0,0.0,2,2.88,1,3,chaotic,74.1
2,13.0,1,8.0,24.66,10,3,1,11.0,4,8.1,0,9,chaotic,45.5
1,3.0,0,0.0,17.77,9,15,1,27.0,0,0.0,0,5,chaotic,44.6
2,5.0,2,5.0,25.71,4,7,1,20.0,2,3.04,0,7,structured,25.9
3,2.0,1,13.0,20.54,12,6,0,0.0,2,4.77,4,3,structured,10.6
2,5.0,2,13.0,23.96,13,3,0,0.0,4,11.59,1,1,structured,29.2
1,3.0,1,9.0,16.88,6,14,0,0.0,4,9.35,4,2,structured,21.0
3,5.0,1,11.0,10.41,15,0,0,0.0,5,15.41,1,6,chaotic,133.3
2,5.0,1,3.0,20.82,8,11,0,0.0,5,13.25,2,5,chaotic,22.3
2,5.0,3,13.0,5.86,2,13,0,0.0,5,6.34,0,7,structured,14.7
2,1.0,1,7.0,4.21,15,3,1,18.0,4,9.28,0,0,structured,37.9
2,13.0,1,11.0,16.98,4,4,0,0.0,3,8.28,1,3,chaotic,23.7
1,2.0,2,4.0,4.52,3,41,0,0.0,0,0.0,3,0,chaotic,4.6
1,3.0,1,2.0,17.22,8,2,0,0.0,5,13.84,4,2,structured,26.2
1,1.0,1,8.0,3.18,10,1,0,0.0,2,3.8,3,8,structured,20.2
2,8.0,0,8.0,2.67,10,8,0,0.0,2,1.37,1,3,structured,7.5
2,8.0,0,9.0,19.67,15,1,0,0.0,5,4.28,1,6,chaotic,12.1
2,2.0,2,12.0,18.08,8,2,1,27.0,3,6.75,1,0,chaotic,37.8
1,1.0,0,12.0,24.61,3,5,0,0.0,3,4.0,3,3,structured,7.1
2,5.0,0,4.0,6.6,8,14,0,0.0,1,1.22,4,3,structured,11.3
3,3.0,0,7.0,1.0,13,6,0,0.0,5,8.05,0,3,structured,33.63386234020153
1,3.0,3,1.0,5.13,2,7,0,0.0,2,1.96,0,6,structured,23.9
2,2.0,1,12.0,2.01,5,3,0,0.0,2,2.36,2,3,structured,6.4
2,5.0,1,2.0,1.31,11,17,0,0.0,4,7.01,4,0,chaotic,18.0
2,5.0,3,1.0,13.42,4,8,0,0.0,2,2.31,0,8,structured,9.0
1,2.0,1,8.0,4.63,8,14,0,0.0,5,15.79,1,6,structured,22.5
2,5.0,2,14.0,24.09,4,4,0,0.0,2,4.72,4,9,chaotic,13.0
3,3.0,2,6.0,12.87,3,4,0,0.0,4,4.02,2,7,structured,26.24192934185132
2,3.0,1,2.0,5.16,12,5,1,18.0,5,6.93,1,3,structured,28.3
3,2.0,2,2.0,12.78,12,3,0,0.0,5,5.53,4,8,structured,8.5
3,2.0,3,13.0,27.09,2,4,1,16.0,1,1.39,0,6,structured,19.3
1,13.0,0,10.0,14.95,9,9,0,0.0,2,3.24,0,2,chaotic,19.7
2,3.0,0,8.0,12.0,7,36,0,0.0,2,1.7,0,2,structured,5.1
1,2.0,2,14.0,19.83,7,3,1,15.0,2,3.63,4,0,structured,24.9
3,2.0,1,1.0,5.0,11,7,0,0.0,4,6.24,0,7,structured,12.8
0,5.0,1,8.0,13.23,10,29,0,0.0,5,9.76,3,1,chaotic,14.3
1,8.0,0,5.0,25.07,3,15,0,0.0,1,1.59,0,9,structured,9.6
3,8.0,2,3.0,13.22,15,21,0,0.0,0,0.0,3,2,structured,6.1
1,3.0,2,14.0,16.7,5,1,0,0.0,2,4.51,2,0,structured,10.7
2,8.0,3,15.0,19.47,9,41,0,0.0,0,0.0,1,8,structured,9.0
1,2.0,1,13.0,19.47,4,65,0,0.0,5,10.63,0,0,structured,27.0
3,8.0,3,2.0,15.34,10,0,0,0.0,4,11.61,3,3,chaotic,30.4
3,3.0,1,11.0,20.73,2,2,0,0.0,2,4.75,3,7,structured,24.58456069193645
1,1.0,1,5.0,25.23,5,4,0,0.0,2,4.0,2,3,structured,5.6
2,5.0,1,6.0,12.69,8,3,0,0.0,3,6.07,2,4,chaotic,13.9
1,2.0,1,8.0,3.56,3,8,0,0.0,4,7.64,2,7,structured,12.8
2,2.0,1,9.0,17.47,8,20,0,0.0,0,0.0,4,5,structured,10.4
2,3.0,0,13.0,10.0,10,2,0,0.0,2,3.04,1,2,structured,8.2
2,1.0,1,3.0,18.17,15,7,0,0.0,5,8.11,4,3,chaotic,12.2
0,3.0,2,8.0,17.36,7,1,1,26.0,2,4.59,0,3,structured,39.1
1,13.0,0,10.0,10.25,12,1,0,0.0,3,2.17,3,0,structured,14.3
2,5.0,2,10.0,2.27,5,0,0,0.0,1,1.41,4,8,structured,7.5
2,5.0,1,4.0,18.96,15,0,0,0.0,5,14.24,0,4,structured,14.5
1,3.0,0,8.0,15.43,15,9,1,12.0,3,2.37,1,3,structured,92.02764810141244
0,5.0,1,13.0,16.29,12,25,0,0.0,4,8.28,2,1,chaotic,19.8
1,2.0,0,9.0,7.04,4,8,0,0.0,5,10.64,3,4,structured,14.7
3,3.0,3,11.0,29.71,15,6,0,0.0,4,3.54,4,3,chaotic,15.2
0,3.0,3,8.0,15.51,7,4,0,0.0,1,1.56,2,1,chaotic,18.7
1,3.0,1,6.0,8.49,5,17,1,5.0,0,0.0,3,1,structured,8.9
3,3.0,1,8.0,24.57,7,3,0,0.0,1,1.17,1,9,chaotic,3.3
0,2.0,0,10.0,1.19,4,2,0,0.0,2,1.43,2,8,structured,4.9
2,13.0,2,13.0,13.76,7,9,0,0.0,1,1.09,1,6,structured,12.9
1,1.0,0,5.0,18.69,7,19,0,0.0,0,0.0,2,2,chaotic,3.3
3,2.0,3,0.0,4.38,15,0,0,0.0,0,0.0,4,0,structured,3.5
2,5.0,3,8.0,8.73,8,4,1,8.0,3,6.98,1,5,chaotic,47.3
3,1.0,0,9.0,20.05,12,7,1,11.0,0,0.0,4,0,chaotic,8.9
1,1.0,1,3.0,4.18,13,10,0,0.0,5,5.44,4,9,structured,8.7
2,3.0,1,13.0,26.92,15,0,0,0.0,1,1.95,3,6,structured,22.7
2,8.0,1,4.0,16.24,9,0,0,0.0,2,2.89,4,9,structured,12.6
1,3.0,0,8.0,20.76,10,40,0,0.0,1,1.61,4,5,structured,7.0
1,2.0,2,3.0,21.51,15,30,0,0.0,2,2.07,3,6,chaotic,4.9
0,3.0,0,7.0,19.74,11,24,0,0.0,3,3.1,4,4,structured,8.6
3,3.0,2,8.0,17.47,6,4,0,0.0,1,0.96,4,3,structured,5.1
2,8.0,1,12.0,22.19,10,4,0,0.0,3,6.76,1,0,structured,14.8
2,3.0,1,11.0,14.85,10,0,0,0.0,3,5.39,3,5,chaotic,11.7
2,8.0,3,8.0,23.57,10,1,1,26.0,4,10.63,2,8,chaotic,46.5
2,8.0,2,7.0,3.62,11,1,0,0.0,5,4.18,4,5,structured,11.7
1,5.0,1,5.0,24.69,8,37,0,0.0,1,1.32,0,7,structured,9.8
1,1.0,1,8.0,23.23,4,15,0,0.0,3,4.76,2,8,chaotic,11.3
2,13.0,1,11.0,20.75,7,4,1,21.0,0,0.0,2,3,chaotic,29.9
1,5.0,1,14.0,1.77,12,14,0,0.0,4,6.28,2,7,structured,24.6
3,3.0,3,11.0,23.51,15,3,0,0.0,2,3.04,4,5,chaotic,9.4
2,1.0,0,1.0,20.86,10,1,0,0.0,2,2.65,1,8,structured,3.1
1,3.0,1,4.0,6.88,12,27,1,26.0,5,15.1,3,6,structured,53.1
2,5.0,2,7.0,13.91,4,7,0,0.0,2,2.6,2,0,structured,8.9
1,3.0,1,5.0,5.8,12,7,1,5.0,1,1.81,2,0,structured,12.3
3,5.0,2,14.0,6.19,7,27,0,0.0,1,1.38,2,9,structured,7.9
3,2.0,0,7.0,21.54,11,16,0,0.0,4,10.46,2,3,structured,9.9
3,3.0,0,3.0,25.74,10,12,0,0.0,0,0.0,2,6,chaotic,3.1
1,3.0,1,9.0,1.94,12,4,0,0.0,5,13.52,4,8,chaotic,39.6
1,1.0,1,6.0,4.08,12,15,1,3.0,5,6.69,1,9,structured,15.0
1,3.0,3,2.0,18.99,11,14,0,0.0,0,0.0,0,7,structured,7.7
0,2.0,1,8.0,5.66,7,5,0,0.0,4,8.62,2,7,structured,23.0
1,2.0,0,15.0,18.56,13,6,0,0.0,0,0.0,4,7,chaotic,17.8
0,3.0,1,12.0,19.02,12,5,0,0.0,0,0.0,2,7,chaotic,33.753997082726904
3,3.0,1,5.0,15.53,3,3,1,6.0,3,3.6,1,9,structured,21.06053897335369
0,3.0,1,13.0,22.75,5,2,0,0.0,3,6.1,2,0,structured,14.1
1,3.0,0,4.0,5.7,5,0,0,0.0,4,9.63,4,2,structured,520.323429744581
2,2.0,1,14.0,5.47,6,3,0,0.0,3,5.24,0,1,structured,41.2
2,5.0,3,14.0,20.14,11,9,0,0.0,0,0.0,3,7,structured,7.0
2,8.0,1,2.0,7.63,2,6,0,0.0,5,11.48,3,2,structured,28.4
2,8.0,1,5.0,2.64,5,3,0,0.0,1,1.77,1,1,chaotic,52.7
3,5.0,0,11.0,19.01,8,4,0,0.0,0,0.0,4,4,chaotic,7.6
2,8.0,2,3.0,6.92,4,12,1,17.0,2,1.73,2,1,structured,20.0
2,2.0,0,12.0,21.38,4,21,0,0.0,0,0.0,0,7,chaotic,4.3
2,2.0,1,10.0,23.2,8,11,0,0.0,1,1.16,2,4,structured,4.6
1,3.0,1,3.0,5.24,10,6,0,0.0,1,1.31,4,2,chaotic,7.2
1,3.0,0,12.0,13.87,6,3,0,0.0,5,9.6,4,5,chaotic,81.9
1,5.0,1,0.0,5.23,15,2,0,0.0,1,1.41,1,9,structured,6.7
